날짜,지역,재난문자_건수,재난유형_리스트
2023-09-01,경기도,1,['전염병']
2023-09-01,경상남도,16,"['교통통제', '홍수', '호우', '산사태']"
2023-09-01,부산광역시,23,"['교통통제', '호우', '화재']"
2023-09-01,울산광역시,5,['호우']
2023-09-01,인천광역시,1,['홍수']
2023-09-01,전라남도,3,"['폭염', '호우']"
2023-09-01,제주특별자치도,2,['호우']
2023-09-01,충청북도,1,['전염병']
2023-09-02,강원특별자치도,3,['교통통제']
2023-09-02,경상남도,2,['호우']
2023-09-02,인천광역시,1,['홍수']
2023-09-02,제주특별자치도,1,['호우']
2023-09-03,강원특별자치도,2,['교통통제']
2023-09-03,부산광역시,1,['호우']
2023-09-04,경상남도,5,"['폭염', '교통통제']"
2023-09-04,광주광역시,1,['폭염']
2023-09-04,전라남도,6,"['폭염', '호우']"
2023-09-04,충청남도,3,"['폭염', '태풍']"
2023-09-04,충청북도,1,['폭염']
2023-09-05,경기도,5,"['폭염', '호우']"
2023-09-05,경상남도,4,"['폭염', '교통통제']"
2023-09-05,서울특별시,3,"['폭염', '호우', '화재']"
2023-09-05,인천광역시,1,['전염병']
2023-09-05,전라남도,3,['폭염']
2023-09-05,전라북도,1,['폭염']
2023-09-05,제주특별자치도,1,['수도']
2023-09-05,충청북도,1,['폭염']
2023-09-06,경기도,6,['폭염']
2023-09-06,경상남도,3,['교통통제']
2023-09-06,인천광역시,1,['전염병']
2023-09-06,전라남도,2,['폭염']
2023-09-06,전라북도,1,['폭염']
2023-09-06,충청남도,1,['폭염']
2023-09-06,충청북도,1,['폭염']
2023-09-07,경상남도,2,['교통통제']
2023-09-07,전라남도,2,"['폭염', '화재']"
2023-09-07,충청남도,1,['폭염']
2023-09-08,세종특별자치시,1,['수도']
2023-09-08,인천광역시,2,['전염병']
2023-09-09,경기도,3,"['수도', '환경오염사고']"
2023-09-09,임진강 수계지역(경기도,1,['홍수']
2023-09-09,전라북도,3,['환경오염사고']
2023-09-11,경상북도,1,['호우']
2023-09-11,서울특별시,2,['교통통제']
2023-09-12,서울특별시,4,['교통통제']
2023-09-12,인천광역시,1,['교통통제']
2023-09-13,강원특별자치도,3,"['호우', '산사태']"
2023-09-13,충청북도,1,['호우']
2023-09-14,경상남도,1,['교통사고']
2023-09-14,서울특별시,1,['화재']
2023-09-14,세종특별자치시,1,['수도']
2023-09-15,전라남도,2,['호우']
2023-09-15,충청남도,3,['환경오염사고']
2023-09-16,강원특별자치도,2,['호우']
2023-09-16,경기도,3,['호우']
2023-09-16,경상남도,27,"['교통통제', '호우']"
2023-09-16,경상북도,7,['호우']
2023-09-16,광주광역시,1,['호우']
2023-09-16,대전광역시,1,['호우']
2023-09-16,부산광역시,20,['호우']
2023-09-16,세종특별자치시,3,['호우']
2023-09-16,울산광역시,4,['호우']
2023-09-16,전라남도,21,['호우']
2023-09-16,전라북도,13,"['호우', '산사태']"
2023-09-16,제주특별자치도,1,['호우']
2023-09-16,충청남도,7,['호우']
2023-09-16,충청북도,7,"['교통통제', '호우', '산사태']"
2023-09-17,경상남도,6,"['교통통제', '호우']"
2023-09-17,부산광역시,22,"['한파', '호우', '산사태']"
2023-09-17,울산광역시,7,"['태풍', '호우']"
2023-09-17,전라남도,1,['호우']
2023-09-17,제주특별자치도,4,['호우']
2023-09-18,경상남도,2,['교통통제']
2023-09-18,경상북도,2,['산사태']
2023-09-18,부산광역시,1,['정전']
2023-09-18,세종특별자치시,1,['수도']
2023-09-19,경상남도,2,['교통통제']
2023-09-19,서울특별시,2,['교통통제']
2023-09-19,충청남도,2,['교통통제']
2023-09-20,강원특별자치도,8,"['호우', '산사태']"
2023-09-20,경기도,4,"['교통통제', '호우', '붕괴']"
2023-09-20,경상남도,17,"['교통통제', '강풍', '호우']"
2023-09-20,경상북도,44,"['홍수', '호우', '산사태', '강풍']"
2023-09-20,대구광역시,5,"['호우', '산사태']"
2023-09-20,대전광역시,9,"['홍수', '호우', '산사태']"
2023-09-20,부산광역시,24,"['호우', '산사태']"
2023-09-20,세종특별자치시,6,"['호우', '산사태']"
2023-09-20,울산광역시,7,['호우']
2023-09-20,인천광역시,1,['호우']
2023-09-20,전라남도,6,['호우']
2023-09-20,전라북도,5,['호우']
2023-09-20,제주특별자치도,1,['호우']
2023-09-20,충청남도,48,"['홍수', '호우', '산사태']"
2023-09-20,충청북도,19,"['호우', '산사태']"
2023-09-21,경기도,2,"['교통통제', '수도']"
2023-09-21,경상남도,3,"['교통통제', '강풍', '호우']"
2023-09-21,경상북도,4,"['풍랑', '호우', '산사태']"
2023-09-21,대구광역시,1,['호우']
2023-09-21,부산광역시,4,"['교통통제', '호우', '산사태']"
2023-09-21,울산광역시,2,['호우']
2023-09-21,충청남도,1,['홍수']
2023-09-21,충청북도,1,['호우']
2023-09-22,강원특별자치도,2,['교통통제']
2023-09-22,경상남도,2,['교통통제']
2023-09-22,경상북도,3,"['산불', '호우']"
2023-09-22,부산광역시,1,['호우']
2023-09-22,울산광역시,1,['교통통제']
2023-09-23,강원특별자치도,1,['교통통제']
2023-09-23,경상남도,2,['교통통제']
2023-09-23,부산광역시,1,['호우']
2023-09-23,인천광역시,1,['교통통제']
2023-09-23,충청남도,1,['교통통제']
2023-09-23,충청북도,2,['호우']
2023-09-24,경상남도,1,['교통통제']
2023-09-24,세종특별자치시,3,['정전']
2023-09-24,충청북도,1,['호우']
2023-09-25,경기도,1,['교통통제']
2023-09-25,경상남도,2,['교통통제']
2023-09-25,충청북도,2,"['교통통제', '전염병']"
2023-09-26,경기도,2,['교통통제']
2023-09-26,경상북도,1,['호우']
2023-09-26,충청북도,1,['전염병']
2023-09-27,경기도,1,['전염병']
2023-09-27,서울특별시,2,['교통통제']
2023-09-27,인천광역시,1,['화재']
2023-09-27,전라남도,1,['수도']
2023-09-27,충청북도,1,['전염병']
2023-09-28,전라남도,2,['교통사고']
2023-09-29,인천광역시,2,['화재']
2023-10-01,경기도,1,['화재']
2023-10-01,전라북도,1,['교통통제']
2023-10-02,경기도,1,['화재']
2023-10-04,경상남도,1,['교통사고']
2023-10-04,경상북도,1,['풍랑']
2023-10-04,전라남도,1,['강풍']
2023-10-05,전라북도,2,['화재']
2023-10-06,강원특별자치도,1,['화재']
2023-10-06,서울특별시,2,['화재']
2023-10-07,경상북도,1,['풍랑']
2023-10-07,서울특별시,4,"['교통통제', '통신']"
2023-10-08,강원특별자치도,1,['풍랑']
2023-10-09,전라남도,1,['수도']
2023-10-10,대전광역시,1,['교통통제']
2023-10-11,경기도,1,['화재']
2023-10-11,서울특별시,2,['교통통제']
2023-10-12,경기도,1,['화재']
2023-10-12,충청남도,4,"['교통통제', '교통사고', '화재']"
2023-10-17,경기도,3,['교통통제']
2023-10-18,전라남도,2,['수도']
2023-10-20,전라남도,3,"['교통통제', '강풍']"
2023-10-21,경상남도,1,['교통통제']
2023-10-21,충청북도,1,['교통사고']
2023-10-22,경상남도,2,['교통통제']
2023-10-23,광주광역시,2,['화재']
2023-10-24,경기도,2,['교통통제']
2023-10-25,경기도,3,"['교통통제', '교통사고', '수도']"
2023-10-25,경상남도,2,"['전염병', '수도']"
2023-10-25,대전광역시,1,['지진']
2023-10-25,충청남도,1,['지진']
2023-10-26,강원특별자치도,1,['호우']
2023-10-26,경기도,1,['교통통제']
2023-10-26,전라남도,1,['강풍']
2023-10-26,충청남도,1,['지진']
2023-10-27,경기도,1,['교통통제']
2023-10-27,경상남도,1,['교통사고']
2023-10-27,경상북도,2,['풍랑']
2023-10-27,전라남도,2,['교통사고']
2023-10-28,강원특별자치도,3,['풍랑']
2023-10-28,부산광역시,1,['산사태']
2023-10-29,강원특별자치도,2,['풍랑']
2023-10-30,서울특별시,1,['교통통제']
2023-10-31,경상남도,2,['교통사고']
2023-10-31,인천광역시,1,['교통사고']
2023-11-01,경기도,2,"['산불', '화재']"
2023-11-01,대전광역시,2,['환경오염사고']
2023-11-02,경기도,2,['화재']
2023-11-03,경상북도,1,['환경오염사고']
2023-11-04,강원특별자치도,1,['풍랑']
2023-11-04,서울특별시,1,['교통통제']
2023-11-04,인천광역시,1,['호우']
2023-11-05,강원특별자치도,3,['호우']
2023-11-05,경기도,21,"['강풍', '호우']"
2023-11-05,경상남도,2,"['강풍', '호우']"
2023-11-05,경상북도,1,['강풍']
2023-11-05,서울특별시,3,"['강풍', '호우']"
2023-11-05,세종특별자치시,1,['강풍']
2023-11-05,충청남도,2,"['강풍', '호우']"
2023-11-06,강원특별자치도,16,"['한파', '강풍', '산불', '호우', '풍랑']"
2023-11-06,경기도,26,"['한파', '강풍', '호우', '풍랑']"
2023-11-06,경상남도,2,"['강풍', '호우']"
2023-11-06,경상북도,10,"['한파', '강풍', '풍랑']"
2023-11-06,대전광역시,1,['호우']
2023-11-06,부산광역시,10,"['강풍', '호우']"
2023-11-06,서울특별시,12,"['한파', '강풍']"
2023-11-06,세종특별자치시,2,['강풍']
2023-11-06,인천광역시,3,['강풍']
2023-11-06,전라남도,6,"['강풍', '호우']"
2023-11-06,전라북도,1,['풍랑']
2023-11-06,제주특별자치도,1,['강풍']
2023-11-06,충청남도,10,"['강풍', '풍랑']"
2023-11-07,경기도,2,['한파']
2023-11-07,경상북도,1,['한파']
2023-11-07,대구광역시,1,['한파']
2023-11-07,서울특별시,1,['화재']
2023-11-09,강원특별자치도,1,['산불']
2023-11-10,경기도,1,['화재']
2023-11-10,경상남도,5,"['한파', '교통사고']"
2023-11-10,경상북도,8,"['한파', '풍랑']"
2023-11-10,부산광역시,1,['한파']
2023-11-10,충청북도,2,['한파']
2023-11-11,강원특별자치도,2,['풍랑']
2023-11-11,경상남도,2,['한파']
2023-11-11,경상북도,1,['한파']
2023-11-11,충청남도,1,['화재']
2023-11-12,경상북도,1,['한파']
2023-11-12,부산광역시,1,['한파']
2023-11-12,서울특별시,1,['화재']
2023-11-13,강원특별자치도,1,['교통통제']
2023-11-13,경상남도,1,['화재']
2023-11-13,경상북도,1,['한파']
2023-11-14,강원특별자치도,2,"['교통통제', '산사태']"
2023-11-14,경기도,2,"['교통통제', '화재']"
2023-11-14,경상북도,1,['화재']
2023-11-14,서울특별시,1,['화재']
2023-11-15,경상북도,1,['화재']
2023-11-16,강원특별자치도,3,['대설']
2023-11-16,경기도,6,"['한파', '대설']"
2023-11-16,경상북도,3,"['호우', '대설']"
2023-11-16,전라북도,1,['대설']
2023-11-16,충청남도,2,"['한파', '대설']"
2023-11-16,충청북도,1,['한파']
2023-11-17,경기도,5,"['한파', '대설']"
