date,region,disaster_type,negative_emotion,neutral_emotion,positive_emotion
2023-09-01,경기도,['전염병'],0.49,0.16,0.35
2023-09-01,경상남도,"['교통통제', '홍수', '호우', '산사태']",0.26,0.58,0.16
2023-09-01,부산광역시,"['교통통제', '호우', '화재']",0.54,0.1,0.36
2023-09-01,울산광역시,['호우'],0.38,0.25,0.37
2023-09-01,인천광역시,['홍수'],0.51,0.23,0.26
2023-09-01,전라남도,"['폭염', '호우']",0.33,0.23,0.44
2023-09-01,제주특별자치도,['호우'],0.31,0.17,0.52
2023-09-01,충청북도,['전염병'],0.34,0.27,0.39
2023-09-02,강원특별자치도,['교통통제'],0.41,0.42,0.17
2023-09-02,경상남도,['호우'],0.59,0.4,0.01
2023-09-02,인천광역시,['홍수'],0.45,0.3,0.25
2023-09-02,제주특별자치도,['호우'],0.23,0.43,0.34
2023-09-03,강원특별자치도,['교통통제'],0.21,0.61,0.18
2023-09-03,부산광역시,['호우'],0.49,0.23,0.28
2023-09-04,경상남도,"['폭염', '교통통제']",0.29,0.12,0.59
2023-09-04,광주광역시,['폭염'],0.2,0.61,0.19
2023-09-04,전라남도,"['폭염', '호우']",0.34,0.22,0.44
2023-09-04,충청남도,"['폭염', '태풍']",0.59,0.34,0.07
2023-09-04,충청북도,['폭염'],0.58,0.37,0.05
2023-09-05,경기도,"['폭염', '호우']",0.24,0.2,0.56
2023-09-05,경상남도,"['폭염', '교통통제']",0.56,0.31,0.13
2023-09-05,서울특별시,"['폭염', '호우', '화재']",0.23,0.17,0.6
2023-09-05,인천광역시,['전염병'],0.33,0.32,0.35
2023-09-05,전라남도,['폭염'],0.58,0.19,0.23
2023-09-05,전라북도,['폭염'],0.42,0.46,0.12
2023-09-05,제주특별자치도,['수도'],0.57,0.18,0.25
2023-09-05,충청북도,['폭염'],0.53,0.2,0.27
2023-09-06,경기도,['폭염'],0.42,0.47,0.11
2023-09-06,경상남도,['교통통제'],0.42,0.55,0.03
2023-09-06,인천광역시,['전염병'],0.51,0.34,0.15
2023-09-06,전라남도,['폭염'],0.41,0.26,0.33
2023-09-06,전라북도,['폭염'],0.5,0.26,0.24
2023-09-06,충청남도,['폭염'],0.44,0.35,0.21
2023-09-06,충청북도,['폭염'],0.5,0.37,0.13
2023-09-07,경상남도,['교통통제'],0.27,0.31,0.42
2023-09-07,전라남도,"['폭염', '화재']",0.25,0.12,0.63
2023-09-07,충청남도,['폭염'],0.58,0.23,0.19
2023-09-08,세종특별자치시,['수도'],0.58,0.36,0.06
2023-09-08,인천광역시,['전염병'],0.53,0.38,0.09
2023-09-09,경기도,"['수도', '환경오염사고']",0.52,0.17,0.31
2023-09-09,임진강 수계지역(경기도,['홍수'],0.22,0.26,0.52
2023-09-09,전라북도,['환경오염사고'],0.35,0.43,0.22
2023-09-11,경상북도,['호우'],0.39,0.31,0.3
2023-09-11,서울특별시,['교통통제'],0.33,0.28,0.39
2023-09-12,서울특별시,['교통통제'],0.38,0.41,0.21
2023-09-12,인천광역시,['교통통제'],0.58,0.41,0.01
2023-09-13,강원특별자치도,"['호우', '산사태']",0.48,0.44,0.08
2023-09-13,충청북도,['호우'],0.54,0.44,0.02
2023-09-14,경상남도,['교통사고'],0.23,0.32,0.45
2023-09-14,서울특별시,['화재'],0.24,0.17,0.59
2023-09-14,세종특별자치시,['수도'],0.54,0.24,0.22
2023-09-15,전라남도,['호우'],0.26,0.21,0.53
