날짜,최고기온,최저기온,평균기온,강수량,지역
2023-09-01,29.6,19.7,24.5,0.0,서울특별시
2023-09-02,30.8,19.7,25.4,0.0,서울특별시
2023-09-03,28.8,23.1,25.8,0.1,서울특별시
2023-09-04,30.2,24.3,27.0,0.3,서울특별시
2023-09-05,32.8,25.0,28.5,0.0,서울특별시
2023-09-06,32.1,24.0,27.9,0.0,서울특별시
2023-09-07,31.6,20.9,26.3,0.0,서울특별시
2023-09-08,30.5,19.6,25.3,0.0,서울특별시
2023-09-09,31.2,20.8,25.8,0.0,서울특별시
2023-09-10,29.6,22.0,25.7,0.0,서울특별시
2023-09-11,29.8,23.1,25.5,0.0,서울특별시
2023-09-12,29.8,21.7,25.7,0.0,서울특별시
2023-09-13,24.6,19.6,22.1,15.9,서울특별시
2023-09-14,27.2,19.2,23.4,0.0,서울특별시
2023-09-15,24.3,20.3,22.3,2.1,서울특별시
2023-09-16,26.6,22.0,23.9,38.7,서울특별시
2023-09-17,28.0,22.0,24.7,3.0,서울특별시
2023-09-18,28.9,22.1,24.7,0.0,서울특별시
2023-09-19,27.2,21.6,24.1,0.0,서울특별시
2023-09-20,23.9,18.8,20.6,35.8,서울특별시
2023-09-21,23.6,17.5,20.1,0.0,서울특별시
2023-09-22,26.7,15.2,20.5,0.0,서울특별시
2023-09-23,27.6,16.3,21.8,0.0,서울특별시
2023-09-24,26.2,17.9,21.8,0.0,서울특별시
2023-09-25,26.0,17.9,21.6,1.9,서울특별시
2023-09-26,20.8,18.6,19.9,27.8,서울특별시
2023-09-27,23.7,20.0,21.5,4.4,서울특별시
2023-09-28,27.3,19.6,22.7,0.0,서울특별시
2023-09-29,26.9,17.4,21.1,0.0,서울특별시
2023-09-30,22.2,17.1,19.7,4.5,서울특별시
2023-10-01,23.7,14.4,18.4,0.0,서울특별시
2023-10-02,24.6,12.9,18.2,0.0,서울특별시
2023-10-03,22.5,14.4,17.5,0.0,서울특별시
2023-10-04,23.2,14.2,17.3,14.7,서울특별시
2023-10-05,19.2,9.9,14.2,0.0,서울특별시
2023-10-06,21.5,9.6,15.5,0.0,서울특별시
2023-10-07,21.2,11.7,16.8,0.0,서울특별시
2023-10-08,19.5,15.2,17.1,0.0,서울특별시
2023-10-09,22.4,14.1,17.4,1.2,서울특별시
2023-10-10,23.5,11.9,17.1,0.0,서울특별시
2023-10-11,24.0,12.9,17.6,0.0,서울특별시
2023-10-12,24.1,12.0,17.5,0.0,서울특별시
2023-10-13,21.5,14.3,17.5,0.0,서울특별시
2023-10-14,18.2,12.9,14.7,5.8,서울특별시
2023-10-15,21.2,10.9,16.1,0.0,서울특별시
2023-10-16,19.6,10.7,14.7,0.0,서울특별시
2023-10-17,20.9,7.5,13.8,0.0,서울특별시
2023-10-18,21.6,9.2,15.7,0.0,서울특별시
2023-10-19,18.9,14.9,17.0,8.2,서울특별시
2023-10-20,15.1,7.2,11.6,0.0,서울특별시
2023-10-21,16.6,5.9,10.4,1.1,서울특별시
2023-10-22,18.7,5.4,12.5,0.0,서울특별시
2023-10-23,21.4,11.1,15.2,0.0,서울특별시
2023-10-24,19.3,11.2,15.6,0.0,서울특별시
2023-10-25,21.9,12.7,16.6,0.0,서울특별시
2023-10-26,21.1,14.6,17.2,0.0,서울특별시
2023-10-27,20.2,12.6,15.7,0.0,서울특별시
2023-10-28,20.7,9.4,14.2,0.0,서울특별시
2023-10-29,21.8,9.8,14.9,0.0,서울특별시
2023-10-30,21.9,9.7,15.1,0.0,서울특별시
2023-10-31,20.8,12.7,16.5,0.0,서울특별시
2023-11-01,20.6,17.2,19.0,0.0,서울특별시
2023-11-02,25.9,18.7,20.8,0.0,서울특별시
2023-11-03,22.4,17.7,19.5,8.5,서울특별시
2023-11-04,20.9,14.1,17.4,0.0,서울특별시
2023-11-05,20.4,15.1,17.3,10.4,서울특별시
2023-11-06,19.3,6.6,13.3,45.8,서울특별시
2023-11-07,9.9,3.6,5.8,0.0,서울특별시
2023-11-08,16.1,1.8,8.4,0.0,서울특별시
2023-11-09,18.4,5.9,11.4,5.1,서울특별시
2023-11-10,9.1,0.5,3.4,0.0,서울특별시
2023-11-11,6.7,-1.9,1.7,0.0,서울특별시
2023-11-12,5.7,-2.0,1.2,0.0,서울특별시
2023-11-13,6.7,-2.2,2.0,0.0,서울특별시
2023-11-14,10.8,-0.8,5.0,0.0,서울특별시
2023-11-15,12.5,2.0,7.0,0.0,서울특별시
2023-11-16,7.4,5.7,6.6,8.4,서울특별시
2023-11-17,5.9,-1.9,1.6,0.0,서울특별시
2023-11-18,5.7,-3.8,0.6,0.0,서울특별시
2023-11-19,13.4,-0.3,5.9,0.0,서울특별시
2023-11-20,12.8,1.8,6.2,0.0,서울특별시
2023-11-21,14.8,1.4,7.4,0.0,서울특별시
2023-11-22,15.1,2.9,9.5,0.0,서울특별시
2023-11-23,14.6,1.9,9.9,0.1,서울특별시
2023-11-24,2.2,-4.4,-1.5,0.0,서울특별시
2023-11-25,4.0,-5.9,-1.3,0.0,서울특별시
2023-11-26,7.2,-0.1,4.0,0.0,서울특별시
2023-11-27,9.3,4.4,6.2,3.6,서울특별시
2023-11-28,5.2,-1.2,1.3,0.0,서울특별시
2023-11-29,3.0,-4.0,-1.4,0.0,서울특별시
2023-11-30,-0.5,-7.3,-4.3,0.0,서울특별시
2023-12-01,0.7,-6.8,-3.2,0.0,서울특별시
2023-12-02,8.0,-4.4,2.0,0.0,서울특별시
2023-12-03,6.0,-2.8,0.8,0.0,서울특별시
2023-12-04,9.4,-3.0,2.7,0.0,서울특별시
2023-12-05,12.6,3.8,6.8,0.0,서울특별시
2023-12-06,8.7,3.9,6.1,3.8,서울특별시
2023-12-07,11.4,0.8,6.6,0.0,서울특별시
2023-12-08,16.8,5.1,11.2,0.0,서울특별시
2023-12-09,16.2,11.7,13.7,0.0,서울특별시
2023-12-10,15.5,6.7,11.4,0.0,서울특별시
2023-12-11,12.3,5.0,8.9,11.4,서울특별시
2023-12-12,9.3,3.5,5.4,0.4,서울특별시
2023-12-13,10.3,2.6,6.8,0.0,서울특별시
2023-12-14,9.1,6.2,7.6,17.0,서울특별시
2023-12-15,6.2,3.7,4.9,31.1,서울특별시
2023-12-16,3.8,-9.9,-4.1,1.5,서울특별시
2023-12-17,-6.4,-12.4,-9.8,0.0,서울특별시
2023-12-18,-3.6,-12.2,-7.7,0.0,서울특별시
2023-12-19,0.2,-8.2,-3.7,0.3,서울특별시
2023-12-20,-2.1,-11.9,-7.4,0.8,서울특별시
2023-12-21,-8.0,-14.4,-11.7,0.0,서울특별시
2023-12-22,-8.0,-14.7,-11.6,0.0,서울특별시
2023-12-23,-0.9,-12.7,-6.8,0.0,서울특별시
2023-12-24,3.0,-5.6,-2.2,1.1,서울특별시
2023-12-25,2.1,-2.7,-0.7,0.7,서울특별시
2023-12-26,7.2,-2.6,1.9,0.0,서울특별시
2023-12-27,6.8,-2.8,1.5,0.0,서울특별시
2023-12-28,4.4,-1.7,1.2,0.0,서울특별시
2023-12-29,4.6,-1.5,1.3,0.0,서울특별시
2023-12-30,2.1,-0.9,0.6,13.1,서울특별시
2023-12-31,4.3,0.6,2.1,4.7,서울특별시
2024-01-01,7.3,-0.3,3.3,0.0,서울특별시
2024-01-02,4.3,2.2,2.9,0.0,서울특별시
2024-01-03,4.0,-1.1,1.8,0.6,서울특별시
2024-01-04,4.7,-3.3,1.4,0.0,서울특별시
2024-01-05,9.1,1.4,5.0,0.0,서울특별시
2024-01-06,5.2,-2.7,0.7,2.4,서울특별시
2024-01-07,-0.9,-8.3,-4.4,0.0,서울특별시
2024-01-08,0.0,-10.3,-4.7,0.0,서울특별시
2024-01-09,0.4,-1.9,-0.6,1.6,서울특별시
2024-01-10,3.3,-4.1,-1.0,0.0,서울특별시
2024-01-11,4.5,-2.4,1.7,0.0,서울특별시
2024-01-12,4.2,-1.4,0.9,0.0,서울특별시
2024-01-13,6.4,-3.8,0.4,0.0,서울특별시
2024-01-14,2.4,-3.3,-0.6,3.1,서울특별시
2024-01-15,0.9,-6.9,-3.7,0.0,서울특별시
2024-01-16,4.3,-7.2,-2.1,0.0,서울특별시
2024-01-17,1.9,-2.3,0.6,9.7,서울특별시
2024-01-18,9.4,1.4,4.5,0.5,서울특별시
2024-01-19,9.0,4.0,5.4,0.0,서울특별시
2024-01-20,4.9,1.9,3.4,0.4,서울특별시
2024-01-21,4.3,-2.4,1.7,0.4,서울특별시
2024-01-22,-2.4,-11.9,-8.7,0.2,서울특별시
2024-01-23,-8.2,-14.0,-11.7,0.0,서울특별시
2024-01-24,-3.7,-11.2,-8.0,0.0,서울특별시
2024-01-25,-0.5,-9.7,-5.3,0.0,서울특별시
2024-01-26,4.0,-6.9,-1.7,0.0,서울특별시
2024-01-27,4.6,-4.6,-0.5,0.0,서울특별시
2024-01-28,3.8,-5.0,-1.5,0.0,서울특별시
2024-01-29,4.6,-4.8,-0.4,0.0,서울특별시
2024-01-30,8.1,-4.0,1.4,0.0,서울특별시
2024-01-31,10.6,0.7,4.7,0.0,서울특별시
2024-02-01,8.2,-1.3,2.4,0.0,서울특별시
2024-02-02,7.9,0.7,3.1,0.0,서울특별시
